Crop,State,Area_ha,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Yield_t_per_ha,Total_Fertilizer_kg,Total_Pesticide_kg,Total_Yield_t,Temperature_C
orange,Madhya Pradesh,2.156,219.44,1.029,28.652,473.11,2.219,61.774,25.77
rice,Bihar,2.222,147.24,0.653,2.911,327.17,1.451,6.468,22.18
orange,Puducherry,0.486,237.88,0.689,17.355,115.61,0.335,8.435,25.12
lentil,Gujarat,2.299,40.59,0.221,0.662,93.32,0.508,1.522,19.39
mango,Madhya Pradesh,0.536,286.71,0.94,9.592,153.68,0.504,5.141,28.84
banana,Rajasthan,1.192,375.43,0.869,46.737,447.51,1.036,55.711,32.53
banana,Uttarakhand,0.802,342.9,1.384,35.873,275.01,1.11,28.77,34.46
jute,Bihar,2.69,144.48,0.612,2.154,388.65,1.646,5.794,22.52
grapes,Arunachal Pradesh,4.313,181.25,0.607,18.706,781.73,2.618,80.679,29.04
papaya,Delhi,0.674,260.14,0.937,33.763,175.33,0.632,22.756,30.21
apple,Jammu and Kashmir,0.678,239.25,0.887,26.881,162.21,0.601,18.225,21.16
grapes,Tamil Nadu,0.51,301.24,1.104,12.948,153.63,0.563,6.603,16.48
watermelon,Ladakh,1.33,134.01,0.894,16.663,178.23,1.189,22.162,30.0
cotton,Tripura,0.818,137.74,1.844,1.421,112.67,1.508,1.162,22.76
kidneybeans,Chhattisgarh,2.435,52.11,0.376,1.041,126.89,0.916,2.535,22.04
watermelon,Arunachal Pradesh,0.839,191.12,0.471,12.652,160.35,0.395,10.615,28.67
pigeonpeas,Jharkhand,3.724,32.24,0.167,1.592,120.06,0.622,5.929,21.96
lentil,Chhattisgarh,0.612,33.77,0.24,1.216,20.67,0.147,0.744,23.32
muskmelon,Andaman and Nicobar Islands,4.112,110.85,0.483,23.876,455.82,1.986,98.178,29.89
banana,Gujarat,1.448,596.07,0.833,45.735,863.11,1.206,66.224,34.98
lentil,Chhattisgarh,1.619,32.8,0.167,0.68,53.1,0.27,1.101,15.34
apple,Nagaland,0.693,163.86,0.811,20.549,113.55,0.562,14.24,19.8
kidneybeans,Rajasthan,3.99,40.94,0.293,0.825,163.35,1.169,3.292,25.36
mango,Karnataka,2.124,269.04,0.536,13.159,571.44,1.138,27.95,28.72
maize,Manipur,0.693,80.41,0.337,2.02,55.72,0.234,1.4,21.29
orange,Tamil Nadu,1.179,130.44,0.595,22.897,153.79,0.702,26.996,19.6
mango,Chhattisgarh,0.817,241.52,1.063,10.823,197.32,0.868,8.842,32.41
coconut,Nagaland,1.255,495.67,0.693,6.615,622.07,0.87,8.302,24.98
rice,Jammu and Kashmir,0.463,128.99,0.539,3.533,59.72,0.25,1.636,25.84
orange,Kerala,0.352,235.97,0.899,19.831,83.06,0.316,6.981,23.25
coffee,Gujarat,6.437,122.9,0.764,1.263,791.11,4.918,8.13,21.71
cotton,Uttar Pradesh,3.389,138.97,1.446,1.38,470.97,4.9,4.677,22.04
pigeonpeas,West Bengal,2.495,39.38,0.237,1.577,98.25,0.591,3.935,20.72
blackgram,Haryana,1.974,33.05,0.369,0.631,65.24,0.728,1.246,32.53
muskmelon,Punjab,0.702,160.33,0.812,12.268,112.55,0.57,8.612,26.39
mungbean,Tripura,1.385,32.62,0.225,1.211,45.18,0.312,1.677,28.54
coffee,Assam,2.424,106.18,0.535,1.418,257.38,1.297,3.437,19.34
rice,Maharashtra,0.823,166.04,0.515,4.728,136.65,0.424,3.891,20.69
muskmelon,Assam,0.595,124.33,0.516,24.96,73.98,0.307,14.851,25.78
papaya,Jharkhand,0.79,232.16,0.831,24.548,183.41,0.656,19.393,23.39
papaya,Uttar Pradesh,0.593,223.2,0.534,28.135,132.36,0.317,16.684,23.03
mungbean,Bihar,4.16,43.34,0.299,1.116,180.29,1.244,4.643,29.54
grapes,Uttar Pradesh,2.047,179.73,0.597,18.282,367.91,1.222,37.423,27.59
mango,Jharkhand,0.722,267.6,1.071,9.789,193.21,0.773,7.068,24.15
mungbean,Delhi,2.633,27.76,0.178,1.179,73.09,0.469,3.104,32.4
chickpea,Jharkhand,0.911,18.81,0.342,1.265,17.14,0.312,1.152,24.11
maize,Meghalaya,3.138,79.82,0.341,4.387,250.48,1.07,13.766,26.47
mango,Odisha,1.586,280.01,0.789,17.603,444.1,1.251,27.918,34.68
pomegranate,Maharashtra,0.921,183.74,0.906,21.208,169.22,0.834,19.533,24.92
coconut,Telangana,2.077,622.81,1.039,9.658,1293.58,2.158,20.06,24.81
mango,Chhattisgarh,1.047,214.39,1.126,14.23,224.47,1.179,14.899,29.95
maize,Madhya Pradesh,1.68,110.66,0.296,3.765,185.91,0.497,6.325,28.08
coconut,Odisha,1.197,380.47,0.562,8.368,455.42,0.673,10.016,25.14
mothbeans,Kerala,1.497,32.73,0.172,0.73,49.0,0.257,1.093,34.58
banana,Maharashtra,9.101,308.03,1.509,32.341,2803.38,13.733,294.335,34.16
coconut,Chandigarh,1.981,338.73,0.643,6.004,671.02,1.274,11.894,27.85
rice,Telangana,1.253,155.79,0.75,2.806,195.2,0.94,3.516,28.35
pigeonpeas,Tamil Nadu,1.912,66.62,0.359,1.83,127.38,0.686,3.499,23.92
coffee,Gujarat,2.949,137.44,1.083,1.606,405.31,3.194,4.736,21.44
chickpea,Himachal Pradesh,2.479,46.41,0.172,0.861,115.05,0.426,2.134,16.11
coconut,Gujarat,3.544,386.66,0.719,8.798,1370.32,2.548,31.18,29.74
pigeonpeas,Rajasthan,2.351,35.26,0.399,0.776,82.9,0.938,1.824,21.87
papaya,Tripura,0.989,150.47,1.015,25.491,148.81,1.004,25.211,25.71
muskmelon,Chandigarh,3.045,134.92,0.411,24.773,410.83,1.251,75.434,31.13
mungbean,Andhra Pradesh,1.067,47.51,0.33,1.403,50.69,0.352,1.497,23.05
rice,Gujarat,1.344,152.33,0.689,4.141,204.73,0.926,5.566,24.51
coffee,Gujarat,3.746,188.49,1.023,0.643,706.08,3.832,2.409,18.0
blackgram,Tripura,0.769,39.39,0.412,1.02,30.29,0.317,0.784,28.75
pomegranate,Maharashtra,8.441,185.52,1.024,9.728,1565.97,8.644,82.114,20.64
apple,Manipur,4.377,125.37,1.006,13.368,548.74,4.403,58.512,18.23
watermelon,Chhattisgarh,0.438,159.99,0.305,12.971,70.08,0.134,5.681,30.78
chickpea,Maharashtra,2.377,44.29,0.362,1.271,105.28,0.86,3.021,11.87
watermelon,Ladakh,3.168,166.19,0.656,20.054,526.49,2.078,63.531,20.34
banana,Bihar,1.03,273.58,0.718,29.554,281.79,0.74,30.441,34.05
coffee,Uttarakhand,1.444,129.12,0.93,0.933,186.45,1.343,1.347,20.19
coffee,Tamil Nadu,5.393,124.33,0.673,1.612,670.51,3.629,8.694,23.79
kidneybeans,Gujarat,0.641,29.92,0.378,0.99,19.18,0.242,0.635,26.78
mothbeans,Gujarat,1.516,32.57,0.326,0.643,49.38,0.494,0.975,24.11
watermelon,Tripura,0.455,139.88,0.387,29.398,63.65,0.176,13.376,20.54
blackgram,Punjab,0.56,30.13,0.224,0.602,16.87,0.125,0.337,30.75
banana,Kerala,1.458,261.51,1.045,26.921,381.28,1.524,39.251,27.68
cotton,Punjab,0.958,189.68,1.433,1.382,181.71,1.373,1.324,30.68
kidneybeans,Goa,1.49,60.03,0.21,1.049,89.44,0.313,1.563,18.89
maize,Meghalaya,1.49,101.71,0.525,3.844,151.55,0.782,5.728,18.72
muskmelon,Karnataka,1.15,149.42,0.567,9.538,171.83,0.652,10.969,27.78
orange,Andhra Pradesh,0.851,227.64,0.65,24.861,193.72,0.553,21.157,29.49
pomegranate,Andhra Pradesh,0.941,235.17,1.018,25.344,221.29,0.958,23.849,24.03
maize,Mizoram,1.044,103.51,0.51,4.001,108.06,0.532,4.177,29.64
muskmelon,Assam,0.412,161.9,0.641,11.948,66.7,0.264,4.923,24.69
grapes,Nagaland,0.426,193.51,0.893,8.292,82.44,0.38,3.532,27.29
papaya,Maharashtra,0.643,245.51,0.933,20.748,157.86,0.6,13.341,30.54
muskmelon,Haryana,1.111,132.02,0.86,19.1,146.67,0.955,21.22,29.42
orange,Maharashtra,4.631,192.25,1.263,24.275,890.31,5.849,112.418,29.24
muskmelon,Karnataka,0.353,141.74,0.382,24.765,50.03,0.135,8.742,29.87
jute,Andaman and Nicobar Islands,1.238,140.66,0.805,3.626,174.14,0.997,4.489,24.59
grapes,Rajasthan,0.338,202.7,0.661,11.893,68.51,0.223,4.02,21.57
jute,Assam,7.07,149.08,0.821,1.997,1054.0,5.804,14.119,29.69
jute,Chandigarh,1.311,119.71,0.475,3.656,156.94,0.623,4.793,28.24
coffee,Madhya Pradesh,0.955,173.75,0.427,1.122,165.93,0.408,1.072,21.0
cotton,Ladakh,4.35,176.86,2.651,1.125,769.34,11.532,4.894,31.63
pomegranate,Jammu and Kashmir,2.397,246.29,1.051,24.203,590.36,2.519,58.015,32.05
cotton,Bihar,2.083,120.17,1.438,1.837,250.31,2.995,3.826,31.16
kidneybeans,Ladakh,1.002,32.32,0.289,1.578,32.38,0.29,1.581,20.65
orange,Andaman and Nicobar Islands,1.628,212.26,0.782,11.874,345.56,1.273,19.331,18.54
coffee,Haryana,0.503,177.0,0.801,1.455,89.03,0.403,0.732,20.23
kidneybeans,Tripura,0.69,52.01,0.415,1.351,35.89,0.286,0.932,29.95
grapes,Nagaland,2.003,161.89,1.165,12.411,324.27,2.333,24.859,21.84
grapes,Mizoram,0.776,227.17,0.903,8.624,176.28,0.701,6.692,18.37
chickpea,Sikkim,2.31,47.22,0.193,1.418,109.08,0.446,3.276,14.72
mango,Nagaland,2.362,363.71,0.557,16.661,859.08,1.316,39.353,24.17
pomegranate,Chandigarh,0.655,261.13,1.192,11.431,171.04,0.781,7.487,23.57
papaya,Goa,1.324,193.24,0.845,25.832,255.85,1.119,34.202,29.38
kidneybeans,Mizoram,6.26,57.6,0.243,1.13,360.58,1.521,7.074,29.94
coffee,Sikkim,0.42,190.45,0.862,1.549,79.99,0.362,0.651,18.9
pomegranate,Maharashtra,4.805,270.11,0.572,28.005,1297.88,2.748,134.564,25.05
mungbean,Nagaland,0.643,37.71,0.397,0.898,24.25,0.255,0.577,33.0
papaya,Nagaland,1.15,193.4,0.921,23.473,222.41,1.059,26.994,22.99
kidneybeans,Arunachal Pradesh,1.38,56.47,0.393,1.221,77.93,0.542,1.685,26.75
mothbeans,Kerala,1.36,43.47,0.317,0.391,59.12,0.431,0.532,25.82
coconut,Delhi,2.152,426.85,1.091,11.485,918.58,2.348,24.716,24.63
lentil,Rajasthan,0.7,20.26,0.265,1.512,14.18,0.186,1.058,20.41
pomegranate,West Bengal,1.191,165.63,0.8,14.809,197.27,0.953,17.638,29.68
mango,Uttarakhand,1.293,259.57,0.934,9.781,335.62,1.208,12.647,25.49
lentil,Assam,2.086,25.34,0.361,0.635,52.86,0.753,1.325,20.43
blackgram,Karnataka,0.361,33.05,0.318,0.691,11.93,0.115,0.249,27.13
banana,Sikkim,3.19,476.61,1.325,26.565,1520.39,4.227,84.742,27.58
watermelon,Tamil Nadu,3.947,105.69,0.96,28.214,417.16,3.789,111.361,21.27
banana,Chhattisgarh,1.6,306.29,0.615,27.572,490.06,0.984,44.115,21.56
watermelon,Chandigarh,0.335,128.54,0.575,17.915,43.06,0.193,6.002,26.31
orange,Karnataka,0.344,129.33,1.051,22.356,44.49,0.362,7.69,25.33
maize,Kerala,0.354,90.34,0.543,2.485,31.98,0.192,0.88,26.35
lentil,Uttarakhand,2.727,30.98,0.325,1.038,84.48,0.886,2.831,23.27
banana,Ladakh,1.853,552.4,1.303,40.377,1023.6,2.414,74.819,20.17
kidneybeans,Bihar,0.654,40.07,0.151,1.761,26.21,0.099,1.152,24.2
papaya,Maharashtra,0.979,265.43,0.63,36.887,259.86,0.617,36.112,29.61
mungbean,Meghalaya,2.055,44.38,0.12,1.036,91.2,0.247,2.129,25.34
coconut,Haryana,1.022,614.06,0.5,12.351,627.57,0.511,12.623,31.21
cotton,Chandigarh,0.831,148.74,1.817,1.751,123.6,1.51,1.455,20.44
pomegranate,Maharashtra,2.977,192.48,0.992,19.221,573.01,2.953,57.221,17.27
papaya,Meghalaya,3.257,156.09,0.842,42.599,508.39,2.742,138.745,31.59
maize,Assam,0.608,79.66,0.51,2.775,48.43,0.31,1.687,20.71
cotton,Odisha,1.717,161.64,2.724,1.961,277.54,4.677,3.367,26.58
apple,Arunachal Pradesh,1.702,106.16,0.705,16.855,180.68,1.2,28.687,16.63
grapes,Sikkim,1.602,146.61,0.923,14.574,234.87,1.479,23.348,20.08
coffee,Manipur,1.658,162.64,0.789,1.745,269.66,1.308,2.893,18.2
coffee,Andaman and Nicobar Islands,1.286,211.49,0.71,0.76,271.98,0.913,0.977,18.45
watermelon,Himachal Pradesh,1.707,104.82,0.491,24.405,178.93,0.838,41.659,24.76
jute,Nagaland,1.836,171.76,0.638,2.085,315.35,1.171,3.828,25.46
blackgram,Tripura,2.194,36.21,0.181,0.549,79.44,0.397,1.205,27.53
mango,Tripura,1.158,173.88,0.703,16.792,201.35,0.814,19.445,33.77
cotton,Rajasthan,0.571,129.72,2.22,1.777,74.07,1.268,1.015,25.76
rice,Puducherry,1.259,111.75,0.689,4.037,140.69,0.867,5.083,26.27
orange,Gujarat,0.328,140.0,1.077,28.342,45.92,0.353,9.296,27.67
grapes,Mizoram,2.243,188.22,0.902,14.917,422.18,2.023,33.459,17.48
blackgram,Bihar,1.334,31.29,0.126,0.593,41.74,0.168,0.791,24.92
mungbean,Arunachal Pradesh,2.926,40.71,0.115,0.944,119.12,0.336,2.762,29.69
watermelon,Manipur,0.907,128.23,0.325,12.587,116.3,0.295,11.416,26.44
maize,Madhya Pradesh,3.021,101.43,0.535,2.664,306.42,1.616,8.048,28.46
lentil,Ladakh,5.638,28.48,0.162,0.919,160.57,0.913,5.181,18.42
kidneybeans,Odisha,1.651,31.83,0.249,1.841,52.55,0.411,3.039,19.14
grapes,Ladakh,1.535,147.32,0.708,12.331,226.14,1.087,18.928,25.25
rice,Andhra Pradesh,0.688,133.62,0.658,3.463,91.93,0.453,2.383,22.67
orange,Madhya Pradesh,3.693,293.72,0.896,26.72,1084.71,3.309,98.677,24.46
chickpea,Bihar,2.221,47.45,0.244,1.347,105.39,0.542,2.992,19.29
grapes,Goa,2.433,212.17,0.81,17.479,516.21,1.971,42.526,23.57
muskmelon,Nagaland,0.773,84.44,0.721,21.166,65.27,0.557,16.361,22.84
apple,Tripura,1.787,271.44,1.198,22.49,485.06,2.141,40.19,22.13
lentil,Assam,0.448,41.14,0.171,1.315,18.43,0.077,0.589,23.22
mothbeans,Meghalaya,2.808,43.03,0.208,0.442,120.83,0.584,1.241,29.62
mothbeans,Tripura,1.169,31.18,0.179,0.626,36.45,0.209,0.732,34.17
maize,Puducherry,0.988,92.24,0.597,1.999,91.13,0.59,1.975,23.78
chickpea,Assam,2.741,46.97,0.363,1.206,128.74,0.995,3.306,19.61
pomegranate,Himachal Pradesh,3.943,245.08,1.279,25.781,966.35,5.043,101.654,30.18
watermelon,Chhattisgarh,2.035,87.32,0.61,17.494,177.7,1.241,35.6,22.14
orange,Rajasthan,0.377,184.81,0.892,18.722,69.67,0.336,7.058,25.57
mothbeans,Mizoram,0.477,34.82,0.298,0.669,16.61,0.142,0.319,21.21
maize,Dadra and Nagar Haveli and Daman and Diu,0.704,68.12,0.445,4.425,47.96,0.313,3.115,20.98
pigeonpeas,Himachal Pradesh,2.387,57.26,0.496,1.534,136.68,1.184,3.662,20.08
pomegranate,Puducherry,4.308,163.51,1.277,28.749,704.4,5.501,123.851,32.5
pigeonpeas,Jammu and Kashmir,1.358,36.8,0.494,1.138,49.97,0.671,1.545,21.38
grapes,Delhi,6.7,280.87,0.687,8.524,1881.83,4.603,57.111,22.04
mothbeans,Jammu and Kashmir,1.145,29.06,0.361,1.256,33.27,0.413,1.438,29.02
kidneybeans,Uttar Pradesh,1.071,35.11,0.253,1.528,37.6,0.271,1.636,22.26
mothbeans,Tamil Nadu,0.892,29.48,0.372,0.393,26.3,0.332,0.351,31.54
jute,Punjab,0.9,84.56,0.586,4.064,76.1,0.527,3.658,29.1
apple,Madhya Pradesh,0.545,143.1,0.614,25.809,77.99,0.335,14.066,16.41
cotton,Haryana,3.314,182.5,1.906,1.629,604.81,6.316,5.399,24.18
lentil,Andaman and Nicobar Islands,5.382,41.08,0.169,1.161,221.09,0.91,6.249,13.85
coffee,Tripura,2.142,97.97,0.639,1.665,209.85,1.369,3.566,23.5
banana,Dadra and Nagar Haveli and Daman and Diu,6.824,403.99,0.895,53.236,2756.83,6.107,363.282,33.13
grapes,Chhattisgarh,2.731,288.72,1.0,10.44,788.49,2.731,28.512,26.32
mungbean,Goa,0.967,40.61,0.22,1.489,39.27,0.213,1.44,25.47
papaya,Himachal Pradesh,1.22,153.43,0.613,30.216,187.18,0.748,36.864,27.64
maize,Dadra and Nagar Haveli and Daman and Diu,2.22,101.23,0.731,4.381,224.73,1.623,9.726,19.75
coffee,Delhi,1.657,184.95,0.555,0.694,306.46,0.92,1.15,18.6
watermelon,Ladakh,1.577,169.08,0.875,12.92,266.64,1.38,20.375,28.15
pigeonpeas,Andhra Pradesh,1.17,60.43,0.388,1.654,70.7,0.454,1.935,25.83
blackgram,West Bengal,2.211,46.67,0.158,1.484,103.19,0.349,3.281,22.79
mungbean,Punjab,3.164,19.87,0.272,0.84,62.87,0.861,2.658,27.17
chickpea,Uttar Pradesh,1.547,51.2,0.296,1.133,79.21,0.458,1.753,12.74
pigeonpeas,Punjab,0.324,48.02,0.384,1.644,15.56,0.124,0.533,21.4
rice,Jharkhand,0.929,111.9,0.454,4.012,103.96,0.422,3.727,21.21
coffee,Jharkhand,0.385,101.35,0.947,1.412,39.02,0.365,0.544,19.28
coffee,Goa,4.114,141.81,0.634,1.79,583.41,2.608,7.364,21.81
maize,Arunachal Pradesh,0.807,103.79,0.491,3.933,83.76,0.396,3.174,27.36
orange,Sikkim,0.445,136.66,0.693,17.07,60.81,0.308,7.596,18.48
muskmelon,Ladakh,0.449,136.5,0.528,13.689,61.29,0.237,6.146,28.95
apple,Mizoram,1.244,231.75,0.657,23.424,288.3,0.817,29.139,15.24
papaya,Goa,1.201,198.54,0.637,35.716,238.45,0.765,42.895,23.13
blackgram,Ladakh,5.502,31.51,0.284,1.476,173.37,1.563,8.121,25.84
watermelon,Bihar,3.063,129.13,0.329,27.005,395.53,1.008,82.716,21.82
chickpea,Jharkhand,1.857,37.86,0.165,1.151,70.31,0.306,2.137,19.09
orange,Tamil Nadu,2.206,127.59,1.021,11.728,281.46,2.252,25.872,25.54
pomegranate,Goa,1.072,292.25,0.703,19.134,313.29,0.754,20.512,22.26
papaya,Haryana,2.043,210.88,0.87,29.523,430.83,1.777,60.315,26.08
apple,Jammu and Kashmir,0.655,156.88,0.911,26.599,102.76,0.597,17.422,22.49
kidneybeans,Kerala,1.263,49.13,0.203,1.028,62.05,0.256,1.298,23.1
kidneybeans,Delhi,2.289,37.59,0.362,1.799,86.04,0.829,4.118,23.25
watermelon,Manipur,1.399,185.69,0.638,27.463,259.78,0.893,38.421,29.64
jute,Dadra and Nagar Haveli and Daman and Diu,6.714,115.85,0.463,3.569,777.82,3.109,23.962,26.94
mango,Madhya Pradesh,0.812,193.91,0.69,13.315,157.45,0.56,10.812,31.4
pomegranate,Assam,0.43,176.54,1.198,29.104,75.91,0.515,12.515,15.95
blackgram,Mizoram,2.723,33.84,0.11,1.462,92.15,0.3,3.981,26.56
cotton,Goa,1.022,132.72,2.308,2.262,135.64,2.359,2.312,26.33
kidneybeans,Meghalaya,2.405,42.55,0.319,1.514,102.33,0.767,3.641,20.01
coconut,Uttarakhand,1.272,485.94,1.071,7.661,618.12,1.362,9.745,31.15
rice,Manipur,2.413,104.11,0.415,4.628,251.22,1.001,11.167,27.6
lentil,Andaman and Nicobar Islands,2.402,29.99,0.213,1.381,72.04,0.512,3.317,19.9
maize,Sikkim,0.625,78.45,0.477,4.82,49.03,0.298,3.012,24.97
chickpea,Andhra Pradesh,1.041,45.1,0.302,1.415,46.95,0.314,1.473,20.78
muskmelon,Odisha,1.305,116.72,0.68,21.448,152.32,0.887,27.99,29.57
orange,Delhi,0.79,145.89,0.819,21.189,115.25,0.647,16.739,20.26
pomegranate,Arunachal Pradesh,2.739,199.31,0.746,17.028,545.91,2.043,46.64,24.09
chickpea,Punjab,0.471,31.99,0.294,1.188,15.07,0.138,0.56,15.96
lentil,Haryana,3.02,40.6,0.131,1.36,122.61,0.396,4.107,13.59
maize,Manipur,2.355,83.76,0.564,3.444,197.25,1.328,8.111,19.91
kidneybeans,Uttarakhand,0.784,53.45,0.27,1.389,41.9,0.212,1.089,28.83
coconut,Punjab,1.426,545.1,0.59,6.381,777.31,0.841,9.099,27.44
muskmelon,Andaman and Nicobar Islands,3.371,104.06,0.851,13.925,350.79,2.869,46.941,26.23
watermelon,Ladakh,2.664,101.15,0.478,23.085,269.46,1.273,61.498,29.74
mothbeans,Mizoram,3.04,31.42,0.325,1.01,95.52,0.988,3.07,34.63
maize,Tripura,3.345,106.54,0.655,3.593,356.38,2.191,12.019,18.39
maize,Mizoram,4.801,82.31,0.506,4.454,395.17,2.429,21.384,25.91
mothbeans,Nagaland,0.414,40.23,0.179,1.038,16.66,0.074,0.43,23.49
chickpea,Dadra and Nagar Haveli and Daman and Diu,4.139,30.84,0.201,0.799,127.65,0.832,3.307,14.13
blackgram,Chhattisgarh,1.014,52.27,0.326,0.699,53.0,0.331,0.709,24.38
jute,Chhattisgarh,2.229,117.98,0.647,2.87,262.98,1.442,6.397,28.99
papaya,Mizoram,1.576,188.76,0.621,26.624,297.49,0.979,41.959,29.03
kidneybeans,Tamil Nadu,4.311,42.14,0.315,0.85,181.67,1.358,3.664,26.68
muskmelon,Andaman and Nicobar Islands,1.027,182.82,0.557,13.475,187.76,0.572,13.839,24.07
orange,Goa,1.186,130.72,0.789,27.965,155.03,0.936,33.166,28.37
blackgram,Himachal Pradesh,1.219,50.03,0.119,0.66,60.99,0.145,0.805,27.47
lentil,Telangana,3.106,29.29,0.209,0.742,90.97,0.649,2.305,17.39
maize,Himachal Pradesh,1.144,70.29,0.564,2.63,80.41,0.645,3.009,25.42
mothbeans,Nagaland,1.212,33.7,0.178,1.032,40.84,0.216,1.251,27.28
pomegranate,Haryana,1.568,245.61,1.06,13.139,385.12,1.662,20.602,17.61
mothbeans,Gujarat,2.573,32.47,0.313,1.064,83.55,0.805,2.738,29.15
watermelon,Delhi,1.252,119.44,0.606,11.634,149.54,0.759,14.566,31.33
watermelon,Andhra Pradesh,0.577,180.15,0.599,29.221,103.95,0.346,16.861,20.49
mungbean,Maharashtra,6.165,51.42,0.183,0.535,317.0,1.128,3.298,32.92
rice,Assam,3.249,139.42,0.334,3.543,452.98,1.085,11.511,20.19
muskmelon,Himachal Pradesh,0.365,162.07,0.582,21.751,59.16,0.212,7.939,27.69
pigeonpeas,Chhattisgarh,1.038,35.3,0.239,1.021,36.64,0.248,1.06,25.33
rice,Arunachal Pradesh,1.13,114.0,0.337,3.328,128.82,0.381,3.761,31.12
coffee,Tamil Nadu,1.143,107.3,0.442,1.268,122.64,0.505,1.449,18.36
mothbeans,Gujarat,1.099,24.55,0.124,1.116,26.98,0.136,1.226,25.41
chickpea,Nagaland,0.535,39.18,0.226,1.91,20.96,0.121,1.022,12.75
banana,Meghalaya,0.614,517.27,1.012,45.053,317.6,0.621,27.663,30.26
mothbeans,Tamil Nadu,4.818,24.04,0.409,0.995,115.82,1.971,4.794,21.74
chickpea,West Bengal,2.923,21.82,0.18,1.313,63.78,0.526,3.838,19.77
lentil,Dadra and Nagar Haveli and Daman and Diu,1.895,24.55,0.165,0.822,46.52,0.313,1.558,16.83
watermelon,Himachal Pradesh,0.477,104.84,0.623,21.406,50.01,0.297,10.211,21.49
mango,Uttar Pradesh,1.102,196.21,1.158,13.73,216.22,1.276,15.13,31.63
jute,Odisha,2.12,164.65,0.794,3.476,349.06,1.683,7.369,23.01
papaya,Manipur,3.022,241.57,0.864,25.298,730.02,2.611,76.451,29.07
lentil,Tamil Nadu,1.564,38.03,0.126,0.84,59.48,0.197,1.314,18.14
papaya,Sikkim,0.888,284.58,0.931,28.635,252.71,0.827,25.428,24.36
watermelon,Chandigarh,2.873,182.58,0.619,27.12,524.55,1.778,77.916,24.19
chickpea,Mizoram,2.29,28.0,0.345,1.423,64.12,0.79,3.259,22.79
mungbean,Telangana,1.653,42.57,0.117,0.693,70.37,0.193,1.146,27.56
muskmelon,Jammu and Kashmir,4.568,194.54,0.855,11.964,888.66,3.906,54.652,28.63
kidneybeans,Andaman and Nicobar Islands,3.877,63.68,0.336,1.593,246.89,1.303,6.176,23.72
mungbean,Tripura,2.34,38.66,0.327,0.666,90.46,0.765,1.558,26.47
papaya,Chhattisgarh,3.413,194.25,0.54,30.448,662.98,1.843,103.919,31.08
pigeonpeas,Haryana,2.928,53.44,0.349,0.936,156.47,1.022,2.741,22.58
mothbeans,Madhya Pradesh,2.453,41.76,0.259,0.701,102.44,0.635,1.72,33.41
coffee,Gujarat,0.694,156.46,0.674,0.786,108.58,0.468,0.545,21.15
mungbean,Uttarakhand,0.672,36.01,0.137,1.336,24.2,0.092,0.898,27.45
watermelon,Goa,1.043,172.32,0.687,21.692,179.73,0.717,22.625,22.57
grapes,Tripura,2.002,244.37,1.09,17.926,489.23,2.182,35.888,28.9
chickpea,Karnataka,5.261,40.02,0.16,1.109,210.55,0.842,5.834,24.72
watermelon,Madhya Pradesh,0.819,117.21,0.531,24.518,95.99,0.435,20.08,20.07
mango,Sikkim,0.364,198.88,0.975,8.506,72.39,0.355,3.096,26.13
orange,Manipur,1.972,132.67,1.082,10.903,261.63,2.134,21.501,19.06
orange,Meghalaya,0.537,140.79,0.631,18.454,75.6,0.339,9.91,23.26
rice,Karnataka,0.524,129.64,0.51,3.563,67.93,0.267,1.867,22.07
rice,Jammu and Kashmir,1.322,107.77,0.702,3.143,142.47,0.928,4.155,26.11
grapes,Manipur,1.394,285.27,1.153,13.29,397.67,1.607,18.526,23.17
maize,Arunachal Pradesh,1.446,96.51,0.595,3.25,139.55,0.86,4.7,20.41
mothbeans,Puducherry,0.977,33.92,0.359,0.837,33.14,0.351,0.818,25.09
lentil,Gujarat,3.95,41.42,0.128,1.636,163.61,0.506,6.462,22.89
cotton,Maharashtra,0.414,130.87,1.512,1.226,54.18,0.626,0.508,22.13
rice,Andaman and Nicobar Islands,0.547,112.73,0.609,3.831,61.66,0.333,2.096,30.52
apple,West Bengal,0.637,140.39,0.678,19.006,89.43,0.432,12.107,14.31
orange,Ladakh,0.818,198.0,0.817,27.649,161.96,0.668,22.617,29.08
grapes,Gujarat,0.481,139.18,0.712,18.731,66.95,0.342,9.01,18.94
pigeonpeas,Goa,1.687,57.71,0.327,0.77,97.36,0.552,1.299,21.79
coconut,Kerala,3.416,690.65,0.657,10.193,2359.26,2.244,34.819,25.23
coffee,Haryana,6.308,162.96,0.519,0.587,1027.95,3.274,3.703,21.02
orange,Tripura,2.743,248.65,1.077,16.979,682.05,2.954,46.573,27.9
orange,Kerala,0.58,183.83,0.907,19.753,106.62,0.526,11.457,20.38
kidneybeans,Jharkhand,1.81,43.84,0.205,0.949,79.35,0.371,1.718,21.21
cotton,Jharkhand,2.934,162.22,1.546,1.64,475.95,4.536,4.812,29.62
watermelon,Jammu and Kashmir,1.553,154.97,0.44,13.631,240.67,0.683,21.169,27.4
banana,Andhra Pradesh,3.652,495.96,1.328,30.211,1811.25,4.85,110.331,30.34
banana,Himachal Pradesh,0.472,554.23,0.797,31.297,261.6,0.376,14.772,25.23
muskmelon,Odisha,1.375,98.87,0.548,21.686,135.95,0.754,29.818,25.57
